exercise_name,id_part_description,description
Alternation bending elbows with dumbbells with rotation of wrist and elbows elevation,1,"In sitting position dumbbells is held with wide-grip, forearms in average setting: -take breath and bend forearm, making the half-turn of the wrist on the outside before forearm finds itself in horizontal position: -complete movement with lifting elbows and exhale. This exercise involves brachioradialis, brachialis muscle, biceps, front part of deltoid."
Alternation bending elbows with dumbbells (elbow propped on thigh),1,"In sitting position, elbow propped on inside part of thigh: -take breath and bend forearm: -exhale in the final phase of movement. This isolated exercise allows to control range, speed and accuracy of movement. It involves mainly biceps and brachialis muscle."
Alternation bending elbows with dumbbells hold neutrally,1,"In standing or sitting position, dumbbells are held by both hands with wide-grip, forearm in middle position: -take breath and bend both forearms simultaneously or alternatly: -exhale in final phase of movement. This exercise develops best brachioradialis. It affects also on biceps and brachialis muscle."
Alternate flexing forearms using cable row,1,"In standing position, face forward, cable row hand is held with wide-grip: -take breath and bend forearm: -exhale in final phase of movement. This exercise allows to concetrate effort within biceps and promotes intense muscle blood suply"
Bending elbows with barbell held with wide-grip,1,"In standing position, back straight, barbell is held with wide-grip (hands apart on widh slightly greater than the distance between shoulders): -take breath and then bend forearms trying not to move your chest by performing isometrical contraction of glutes, abdominal and paraspinal muscles: -exhale in final phase of movement. This exercise involves mainly biceps and brachialis muscle."
Reverse grip lat pull down,1,"In standing position standing centrally to lift, arm outstretched, lift hands are held with reverse grip: -take breath and bend forearms: -exhale in final phase of movement. This exercise which often ends workout arms muscles allows to develop biceps, mainly its pre-streached short head and biased in position of spread shoulders; it also develops brachialis. This exercise cannot be perform with heavy load. It's important to focus on the feeling od contraction of internal part of biceps. "
Exercise for triceps brachii muscle with use of lat pull down (hand of cable row is held with wide-grip),2,"In standing position, hands on lat pull down holder, elbows along trunk: -take breath and straight forearms trying not to tear elbows from trunk: -exhale in final phase of exercise"
Exercise for triceps brachii muscle with use of lat pull down (hand of cable row is held with reverse grip),2,"In standing position, facing the machine, arms at sides, bent at elbows, hands on the handles: -take breath and straighten forearms trying no to separate elbows from your body: -exhale in final phase of movement. Reverse grip prevents trainging with heavy load thats why this exercise can only be done with small load  in order to develop triceps brachii muscle and concentrate effort on head of this muscle."
Alernate straightening forearms with use of lat pull down ,2,"In standing position facing the machine, hand of lift is held with wide-grip: -take breath and straighten forearm: -exhale. This exercise involves triceps brachii muscle, mainly its side head"
Straighten elbows with barbells in the lying position on bench,2,"In the lying position on bench, barbell is held with wide-grip, arms arranged vertivally in relation to the bench: -take breath and bent arms trying not to dissaude too in back elbows while lowering the barbell at the height of forehead -exhale in the final phase of movement"
